null4334.36,1000.0,2017-09-09
4309.91,1000.0,2017-09-09
4312.94,1000.0,2017-09-09
4306.42,1000.0,2017-09-09
4309.72,1000.0,2017-09-09
4294.9,1000.0,2017-09-09
4305.48,1000.0,2017-09-09
4309.96,1000.0,2017-09-09
4309.97,1000.0,2017-09-09
4278.05,1000.0,2017-09-09
4280.5,1000.0,2017-09-09
4255.0,1000.0,2017-09-09
4249.43,1000.0,2017-09-09
4265.02,1000.0,2017-09-09
4267.32,1000.0,2017-09-09
4258.28,1000.0,2017-09-09
4247.01,1000.0,2017-09-09
4274.06,1000.0,2017-09-10
4281.13,1000.0,2017-09-10
4269.41,1000.0,2017-09-10
4256.28,1000.0,2017-09-10
4234.01,1000.0,2017-09-10
4230.24,1000.0,2017-09-10
4211.51,1000.0,2017-09-10
4213.64,1000.0,2017-09-10
4210.0,1000.0,2017-09-10
4190.0,1000.0,2017-09-10
4173.53,1000.0,2017-09-10
4151.0,1000.0,2017-09-10
4162.71,1000.0,2017-09-10
4210.0,1000.0,2017-09-10
4211.82,1000.0,2017-09-10
4218.89,1000.0,2017-09-10
4234.82,1000.0,2017-09-10
4263.97,1000.0,2017-09-10
4245.16,1000.0,2017-09-10
4240.21,1000.0,2017-09-10
4216.07,1000.0,2017-09-10
4220.0,1000.0,2017-09-10
4201.01,1000.0,2017-09-10
4198.43,1000.0,2017-09-10
4190.01,1000.0,2017-09-10
4170.14,1000.0,2017-09-10
4162.89,1000.0,2017-09-10
4192.07,1000.0,2017-09-10
4182.43,1000.0,2017-09-10
4200.39,1000.0,2017-09-10
4225.1,1000.0,2017-09-10
4259.9,1000.0,2017-09-10
4236.06,1000.0,2017-09-10
4219.99,1000.0,2017-09-10
4224.99,1000.0,2017-09-10
4238.76,1000.0,2017-09-10
4237.3,1000.0,2017-09-10
4190.01,1000.0,2017-09-10
4160.69,1000.0,2017-09-10
4180.0,1000.0,2017-09-10
4173.55,1000.0,2017-09-10
4148.11,1000.0,2017-09-10
4174.79,1000.0,2017-09-10
4196.99,1000.0,2017-09-10
4190.78,1000.0,2017-09-10
4187.93,1000.0,2017-09-10
4197.77,1000.0,2017-09-10
4186.55,1000.0,2017-09-10
4178.83,1000.0,2017-09-10
4195.0,1000.0,2017-09-10
4237.99,1000.0,2017-09-10
4275.64,1000.0,2017-09-10
4319.0,1000.0,2017-09-10
4323.82,1000.0,2017-09-10
4339.99,1000.0,2017-09-10
4337.14,1000.0,2017-09-10
4336.01,1000.0,2017-09-10
4310.28,1000.0,2017-09-10
4333.94,1000.0,2017-09-10
4330.16,1000.0,2017-09-10
4320.23,1000.0,2017-09-10
4320.0,1000.0,2017-09-10
4324.88,1000.0,2017-09-10
4329.45,1000.0,2017-09-10
4308.94,1000.0,2017-09-10
4290.03,1000.0,2017-09-10
4290.51,1000.0,2017-09-10
4289.43,1000.0,2017-09-10
4273.44,1000.0,2017-09-10
4268.89,1000.0,2017-09-10
4268.89,1000.0,2017-09-10
4257.25,1000.0,2017-09-10
4295.53,1000.0,2017-09-10
4293.39,1000.0,2017-09-10
4299.97,1000.0,2017-09-10
4285.01,1000.0,2017-09-10
4287.02,1000.0,2017-09-10
4260.01,1000.0,2017-09-10
4250.01,1000.0,2017-09-10
4251.36,1000.0,2017-09-10
4266.53,1000.0,2017-09-10
4243.99,1000.0,2017-09-10
4228.01,1000.0,2017-09-10
4233.56,1000.0,2017-09-10
4259.0,1000.0,2017-09-10
4271.01,1000.0,2017-09-10
4275.6,1000.0,2017-09-10
4317.01,1000.0,2017-09-10
4319.69,1000.0,2017-09-10
4322.91,1000.0,2017-09-10
4310.06,1000.0,2017-09-10
4303.47,1000.0,2017-09-10
4325.0,1000.0,2017-09-10
4360.5,1000.0,2017-09-10
4350.0,1000.0,2017-09-10
4347.57,1000.0,2017-09-10
4278.7,1000.0,2017-09-11
4211.12,1000.0,2017-09-11
